{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.4, -0.45], 'power': [[1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672746408', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.4, -0.45], 'power': [[1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672746410, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  28%|██▊       | 95/344 [00:00<00:00, 941.66it/s]Pre-process:  56%|█████▌    | 192/344 [00:00<00:00, 953.04it/s]Pre-process:  84%|████████▍ | 290/344 [00:00<00:00, 961.75it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 960.42it/s]
Basis total: 17
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 338947
Epoch: 001, Train Loss: 1.0674662, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.9977557, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8900115, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8010293, Train Acc: 0.5631068, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7459225, Train Acc: 0.6051780, Test Acc: 0.6000000
Epoch: 006, Train Loss: 0.7221376, Train Acc: 0.4854369, Test Acc: 0.4571429
Epoch: 007, Train Loss: 0.6890083, Train Acc: 0.6213592, Test Acc: 0.6000000
Epoch: 008, Train Loss: 0.6689220, Train Acc: 0.6407767, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6376904, Train Acc: 0.6601942, Test Acc: 0.5428571
Epoch: 010, Train Loss: 0.5999573, Train Acc: 0.6957929, Test Acc: 0.5714286
Epoch: 011, Train Loss: 0.5931213, Train Acc: 0.6796117, Test Acc: 0.4857143
Epoch: 012, Train Loss: 0.5241851, Train Acc: 0.7637540, Test Acc: 0.5714286
Epoch: 013, Train Loss: 0.6356655, Train Acc: 0.6375405, Test Acc: 0.4285714
Epoch: 014, Train Loss: 0.4245747, Train Acc: 0.8025890, Test Acc: 0.5142857
Epoch: 015, Train Loss: 0.3855409, Train Acc: 0.8381877, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.4974649, Train Acc: 0.7411003, Test Acc: 0.4571429
Epoch: 017, Train Loss: 0.3553421, Train Acc: 0.8446602, Test Acc: 0.4857143
Epoch: 018, Train Loss: 0.5442061, Train Acc: 0.7152104, Test Acc: 0.4285714
Epoch: 019, Train Loss: 0.3691838, Train Acc: 0.8284790, Test Acc: 0.5142857
Epoch: 020, Train Loss: 0.3260012, Train Acc: 0.8576052, Test Acc: 0.5142857
