{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672754460', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672754462, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  24%|██▎       | 81/344 [00:00<00:00, 801.64it/s]Pre-process:  48%|████▊     | 164/344 [00:00<00:00, 815.51it/s]Pre-process:  72%|███████▏  | 246/344 [00:00<00:00, 811.62it/s]Pre-process:  96%|█████████▌| 331/344 [00:00<00:00, 823.51it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 813.68it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 339971
Epoch: 001, Train Loss: 1.0815759, Train Acc: 0.5501618, Test Acc: 0.5714286
Epoch: 002, Train Loss: 1.0058317, Train Acc: 0.5080906, Test Acc: 0.6285714
Epoch: 003, Train Loss: 0.9209741, Train Acc: 0.4368932, Test Acc: 0.4571429
Epoch: 004, Train Loss: 0.8499217, Train Acc: 0.4530744, Test Acc: 0.4857143
Epoch: 005, Train Loss: 0.7109035, Train Acc: 0.5372168, Test Acc: 0.4000000
Epoch: 006, Train Loss: 0.7935463, Train Acc: 0.5922330, Test Acc: 0.7142857
Epoch: 007, Train Loss: 0.6812784, Train Acc: 0.6245955, Test Acc: 0.6285714
Epoch: 008, Train Loss: 0.6521764, Train Acc: 0.6213592, Test Acc: 0.6571429
Epoch: 009, Train Loss: 0.8089413, Train Acc: 0.6116505, Test Acc: 0.6857143
Epoch: 010, Train Loss: 0.5642691, Train Acc: 0.6601942, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.5412368, Train Acc: 0.7152104, Test Acc: 0.4857143
Epoch: 012, Train Loss: 0.5774963, Train Acc: 0.6763754, Test Acc: 0.6857143
Epoch: 013, Train Loss: 0.4784584, Train Acc: 0.7475728, Test Acc: 0.7428571
Epoch: 014, Train Loss: 0.4552200, Train Acc: 0.7702265, Test Acc: 0.6000000
Epoch: 015, Train Loss: 0.4421762, Train Acc: 0.7702265, Test Acc: 0.5714286
Epoch: 016, Train Loss: 0.4229539, Train Acc: 0.7928803, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.4173664, Train Acc: 0.8058252, Test Acc: 0.5714286
Epoch: 018, Train Loss: 0.3994354, Train Acc: 0.8349515, Test Acc: 0.6285714
Epoch: 019, Train Loss: 0.3872645, Train Acc: 0.8608414, Test Acc: 0.6000000
Epoch: 020, Train Loss: 0.3747296, Train Acc: 0.8478964, Test Acc: 0.6000000
Epoch: 021, Train Loss: 0.3623141, Train Acc: 0.8608414, Test Acc: 0.6000000
Epoch: 022, Train Loss: 0.3517151, Train Acc: 0.8640777, Test Acc: 0.6000000
