{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672754820', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672754821, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▌       | 86/344 [00:00<00:00, 851.72it/s]Pre-process:  51%|█████     | 174/344 [00:00<00:00, 865.68it/s]Pre-process:  76%|███████▌  | 261/344 [00:00<00:00, 867.47it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 870.94it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 339971
Epoch: 001, Train Loss: 1.0910340, Train Acc: 0.4822006, Test Acc: 0.4571429
Epoch: 002, Train Loss: 1.0346796, Train Acc: 0.4757282, Test Acc: 0.4571429
Epoch: 003, Train Loss: 0.9466057, Train Acc: 0.4789644, Test Acc: 0.3428571
Epoch: 004, Train Loss: 0.9935464, Train Acc: 0.4660194, Test Acc: 0.3714286
Epoch: 005, Train Loss: 1.4418793, Train Acc: 0.4789644, Test Acc: 0.4857143
Epoch: 006, Train Loss: 2.0445814, Train Acc: 0.4595469, Test Acc: 0.5142857
Epoch: 007, Train Loss: 1.9871616, Train Acc: 0.4401294, Test Acc: 0.4285714
Epoch: 008, Train Loss: 3.5617568, Train Acc: 0.4563107, Test Acc: 0.4285714
Epoch: 009, Train Loss: 3.0663410, Train Acc: 0.6019417, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.9663973, Train Acc: 0.6148867, Test Acc: 0.6000000
Epoch: 011, Train Loss: 0.8738082, Train Acc: 0.6504854, Test Acc: 0.6000000
Epoch: 012, Train Loss: 0.5475446, Train Acc: 0.7087379, Test Acc: 0.5714286
Epoch: 013, Train Loss: 0.6864718, Train Acc: 0.6925566, Test Acc: 0.5142857
Epoch: 014, Train Loss: 1.4384308, Train Acc: 0.6990291, Test Acc: 0.5428571
Epoch: 015, Train Loss: 1.2207667, Train Acc: 0.6051780, Test Acc: 0.4857143
Epoch: 016, Train Loss: 0.5663813, Train Acc: 0.7378641, Test Acc: 0.6285714
Epoch: 017, Train Loss: 0.8874901, Train Acc: 0.7119741, Test Acc: 0.6571429
Epoch: 018, Train Loss: 1.2360641, Train Acc: 0.7152104, Test Acc: 0.4857143
Epoch: 019, Train Loss: 0.6979689, Train Acc: 0.7734628, Test Acc: 0.5142857
Epoch: 020, Train Loss: 0.9429061, Train Acc: 0.6990291, Test Acc: 0.5428571
Epoch: 021, Train Loss: 0.5667822, Train Acc: 0.7313916, Test Acc: 0.6000000
Epoch: 022, Train Loss: 0.5365036, Train Acc: 0.7637540, Test Acc: 0.6285714
Epoch: 023, Train Loss: 0.5106447, Train Acc: 0.7669903, Test Acc: 0.5428571
Epoch: 024, Train Loss: 0.3691938, Train Acc: 0.8317152, Test Acc: 0.5142857
Epoch: 025, Train Loss: 0.3318329, Train Acc: 0.8576052, Test Acc: 0.5428571
Epoch: 026, Train Loss: 0.3171810, Train Acc: 0.8640777, Test Acc: 0.5714286
Epoch: 027, Train Loss: 0.3333663, Train Acc: 0.8543689, Test Acc: 0.6000000
