{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672755294', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672755295, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▍       | 85/344 [00:00<00:00, 849.65it/s]Pre-process:  50%|█████     | 173/344 [00:00<00:00, 864.92it/s]Pre-process:  76%|███████▌  | 261/344 [00:00<00:00, 867.56it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 870.00it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 339971
Epoch: 001, Train Loss: 1.0718910, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0143911, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9101947, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8086371, Train Acc: 0.5695793, Test Acc: 0.4285714
Epoch: 005, Train Loss: 0.7453527, Train Acc: 0.5080906, Test Acc: 0.4857143
Epoch: 006, Train Loss: 0.7054250, Train Acc: 0.6245955, Test Acc: 0.4857143
Epoch: 007, Train Loss: 0.6807146, Train Acc: 0.6343042, Test Acc: 0.5142857
Epoch: 008, Train Loss: 0.6751130, Train Acc: 0.5598706, Test Acc: 0.4285714
Epoch: 009, Train Loss: 0.6348674, Train Acc: 0.6343042, Test Acc: 0.5142857
Epoch: 010, Train Loss: 0.5928313, Train Acc: 0.6828479, Test Acc: 0.5142857
Epoch: 011, Train Loss: 0.5226765, Train Acc: 0.7572816, Test Acc: 0.5142857
Epoch: 012, Train Loss: 0.5373689, Train Acc: 0.6893204, Test Acc: 0.5428571
Epoch: 013, Train Loss: 0.3902928, Train Acc: 0.8478964, Test Acc: 0.5428571
Epoch: 014, Train Loss: 0.4324509, Train Acc: 0.7669903, Test Acc: 0.5428571
Epoch: 015, Train Loss: 0.3171649, Train Acc: 0.8737864, Test Acc: 0.4857143
Epoch: 016, Train Loss: 0.3744417, Train Acc: 0.8317152, Test Acc: 0.4857143
Epoch: 017, Train Loss: 0.2836288, Train Acc: 0.8737864, Test Acc: 0.4571429
Epoch: 018, Train Loss: 0.3359583, Train Acc: 0.8511327, Test Acc: 0.5142857
Epoch: 019, Train Loss: 0.2958280, Train Acc: 0.8608414, Test Acc: 0.6000000
Epoch: 020, Train Loss: 0.2625665, Train Acc: 0.8964401, Test Acc: 0.5142857
Epoch: 021, Train Loss: 0.2380357, Train Acc: 0.9029126, Test Acc: 0.5428571
