{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672756076', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672756077, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  22%|██▏       | 76/344 [00:00<00:00, 756.55it/s]Pre-process:  45%|████▌     | 155/344 [00:00<00:00, 773.01it/s]Pre-process:  68%|██████▊   | 233/344 [00:00<00:00, 769.79it/s]Pre-process:  91%|█████████ | 313/344 [00:00<00:00, 778.50it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 777.20it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 339971
Epoch: 001, Train Loss: 1.0735160, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0174334, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9135204, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8191338, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7611317, Train Acc: 0.5372168, Test Acc: 0.4571429
Epoch: 006, Train Loss: 0.7161570, Train Acc: 0.5825243, Test Acc: 0.5714286
Epoch: 007, Train Loss: 0.7141545, Train Acc: 0.4919094, Test Acc: 0.4285714
Epoch: 008, Train Loss: 0.6788072, Train Acc: 0.5825243, Test Acc: 0.4857143
Epoch: 009, Train Loss: 0.7004771, Train Acc: 0.5404531, Test Acc: 0.4000000
Epoch: 010, Train Loss: 0.6690797, Train Acc: 0.5825243, Test Acc: 0.5142857
Epoch: 011, Train Loss: 0.6888801, Train Acc: 0.5825243, Test Acc: 0.4571429
Epoch: 012, Train Loss: 0.6222265, Train Acc: 0.6537217, Test Acc: 0.4285714
Epoch: 013, Train Loss: 0.6141093, Train Acc: 0.6699029, Test Acc: 0.4571429
Epoch: 014, Train Loss: 0.5489281, Train Acc: 0.7087379, Test Acc: 0.4857143
Epoch: 015, Train Loss: 0.5518734, Train Acc: 0.7119741, Test Acc: 0.4857143
Epoch: 016, Train Loss: 0.4586430, Train Acc: 0.7572816, Test Acc: 0.5142857
Epoch: 017, Train Loss: 0.3833253, Train Acc: 0.8155340, Test Acc: 0.4571429
Epoch: 018, Train Loss: 0.4199176, Train Acc: 0.7831715, Test Acc: 0.4571429
Epoch: 019, Train Loss: 0.3953044, Train Acc: 0.8220065, Test Acc: 0.6285714
Epoch: 020, Train Loss: 0.3333178, Train Acc: 0.8770227, Test Acc: 0.5142857
Epoch: 021, Train Loss: 0.2910464, Train Acc: 0.8899676, Test Acc: 0.5714286
Epoch: 022, Train Loss: 0.3274921, Train Acc: 0.8802589, Test Acc: 0.5428571
Epoch: 023, Train Loss: 0.2655359, Train Acc: 0.8996764, Test Acc: 0.5142857
Epoch: 024, Train Loss: 0.2322709, Train Acc: 0.9126214, Test Acc: 0.5714286
Epoch: 025, Train Loss: 0.2367993, Train Acc: 0.8964401, Test Acc: 0.6000000
Epoch: 026, Train Loss: 0.2319144, Train Acc: 0.8996764, Test Acc: 0.5428571
Epoch: 027, Train Loss: 0.3301029, Train Acc: 0.8381877, Test Acc: 0.5428571
Epoch: 028, Train Loss: 0.2681711, Train Acc: 0.8802589, Test Acc: 0.6285714
Epoch: 029, Train Loss: 0.2253319, Train Acc: 0.9158576, Test Acc: 0.5714286
Epoch: 030, Train Loss: 0.4381927, Train Acc: 0.8025890, Test Acc: 0.4857143
Epoch: 031, Train Loss: 0.1577358, Train Acc: 0.9482201, Test Acc: 0.5428571
Epoch: 032, Train Loss: 0.1510494, Train Acc: 0.9579288, Test Acc: 0.5428571
Epoch: 033, Train Loss: 0.1628783, Train Acc: 0.9352751, Test Acc: 0.5428571
Epoch: 034, Train Loss: 0.1439882, Train Acc: 0.9514563, Test Acc: 0.6000000
Epoch: 035, Train Loss: 0.1269426, Train Acc: 0.9514563, Test Acc: 0.5714286
Epoch: 036, Train Loss: 0.1405237, Train Acc: 0.9352751, Test Acc: 0.6000000
Epoch: 037, Train Loss: 0.1232614, Train Acc: 0.9579288, Test Acc: 0.6000000
Epoch: 038, Train Loss: 0.1066365, Train Acc: 0.9644013, Test Acc: 0.5714286
Epoch: 039, Train Loss: 0.0949740, Train Acc: 0.9708738, Test Acc: 0.6000000
Epoch: 040, Train Loss: 0.0869861, Train Acc: 0.9644013, Test Acc: 0.6000000
Epoch: 041, Train Loss: 0.1148219, Train Acc: 0.9514563, Test Acc: 0.6000000
Epoch: 042, Train Loss: 0.0825183, Train Acc: 0.9708738, Test Acc: 0.6000000
Epoch: 043, Train Loss: 0.0995449, Train Acc: 0.9676375, Test Acc: 0.6000000
Epoch: 044, Train Loss: 0.0936938, Train Acc: 0.9482201, Test Acc: 0.6000000
Epoch: 045, Train Loss: 0.0914805, Train Acc: 0.9644013, Test Acc: 0.5714286
Epoch: 046, Train Loss: 0.1123307, Train Acc: 0.9482201, Test Acc: 0.6571429
Epoch: 047, Train Loss: 0.0718711, Train Acc: 0.9741100, Test Acc: 0.5714286
Epoch: 048, Train Loss: 0.1148905, Train Acc: 0.9385113, Test Acc: 0.6285714
Epoch: 049, Train Loss: 0.0714429, Train Acc: 0.9676375, Test Acc: 0.6571429
Epoch: 050, Train Loss: 0.0705475, Train Acc: 0.9741100, Test Acc: 0.6285714
Epoch: 051, Train Loss: 0.1098813, Train Acc: 0.9579288, Test Acc: 0.6000000
Epoch: 052, Train Loss: 0.1028296, Train Acc: 0.9546926, Test Acc: 0.6285714
Epoch: 053, Train Loss: 0.1077657, Train Acc: 0.9514563, Test Acc: 0.6000000
Epoch: 054, Train Loss: 0.0807878, Train Acc: 0.9644013, Test Acc: 0.6285714
Epoch: 055, Train Loss: 0.0691540, Train Acc: 0.9676375, Test Acc: 0.6571429
Epoch: 056, Train Loss: 0.0631762, Train Acc: 0.9773463, Test Acc: 0.5714286
Epoch: 057, Train Loss: 0.1377504, Train Acc: 0.9417476, Test Acc: 0.6285714
Epoch: 058, Train Loss: 0.0683670, Train Acc: 0.9773463, Test Acc: 0.6000000
Epoch: 059, Train Loss: 0.0557112, Train Acc: 0.9805825, Test Acc: 0.5714286
Epoch: 060, Train Loss: 0.0489293, Train Acc: 0.9773463, Test Acc: 0.5428571
Epoch: 061, Train Loss: 0.0444767, Train Acc: 0.9838188, Test Acc: 0.5428571
Epoch: 062, Train Loss: 0.0422885, Train Acc: 0.9805825, Test Acc: 0.6000000
Epoch: 063, Train Loss: 0.0373604, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 064, Train Loss: 0.0406421, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 065, Train Loss: 0.0348703, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 066, Train Loss: 0.0389109, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 067, Train Loss: 0.0347946, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 068, Train Loss: 0.0451245, Train Acc: 0.9741100, Test Acc: 0.6000000
Epoch: 069, Train Loss: 0.0324170, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 070, Train Loss: 0.0406924, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 071, Train Loss: 0.0475788, Train Acc: 0.9773463, Test Acc: 0.6000000
Epoch: 072, Train Loss: 0.0439608, Train Acc: 0.9805825, Test Acc: 0.6000000
Epoch: 073, Train Loss: 0.0804781, Train Acc: 0.9676375, Test Acc: 0.5428571
Epoch: 074, Train Loss: 0.0364736, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 075, Train Loss: 0.0323587, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 076, Train Loss: 0.0404867, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 077, Train Loss: 0.0335982, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 078, Train Loss: 0.0490835, Train Acc: 0.9741100, Test Acc: 0.6000000
Epoch: 079, Train Loss: 0.0330489, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 080, Train Loss: 0.0393357, Train Acc: 0.9805825, Test Acc: 0.5428571
Epoch: 081, Train Loss: 0.0476656, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 082, Train Loss: 0.0379906, Train Acc: 0.9870550, Test Acc: 0.5142857
Epoch: 083, Train Loss: 0.0513694, Train Acc: 0.9773463, Test Acc: 0.5142857
Epoch: 084, Train Loss: 0.0356715, Train Acc: 0.9870550, Test Acc: 0.5142857
Epoch: 085, Train Loss: 0.0539321, Train Acc: 0.9741100, Test Acc: 0.6000000
Epoch: 086, Train Loss: 0.0310487, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 087, Train Loss: 0.0282439, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 088, Train Loss: 0.0290904, Train Acc: 0.9870550, Test Acc: 0.6857143
Epoch: 089, Train Loss: 0.0270098, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 090, Train Loss: 0.0342307, Train Acc: 0.9838188, Test Acc: 0.6000000
Epoch: 091, Train Loss: 0.0260196, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 092, Train Loss: 0.0249682, Train Acc: 0.9870550, Test Acc: 0.6000000
