{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672756307', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672756309, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  22%|██▏       | 75/344 [00:00<00:00, 749.68it/s]Pre-process:  45%|████▍     | 154/344 [00:00<00:00, 769.15it/s]Pre-process:  67%|██████▋   | 231/344 [00:00<00:00, 765.47it/s]Pre-process:  90%|█████████ | 310/344 [00:00<00:00, 772.99it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 767.04it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 339971
Epoch: 001, Train Loss: 1.0734579, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0173571, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9134062, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8189816, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7608737, Train Acc: 0.5372168, Test Acc: 0.4571429
Epoch: 006, Train Loss: 0.7158868, Train Acc: 0.5825243, Test Acc: 0.5714286
Epoch: 007, Train Loss: 0.7134804, Train Acc: 0.4951456, Test Acc: 0.4000000
Epoch: 008, Train Loss: 0.6780434, Train Acc: 0.5792880, Test Acc: 0.5142857
Epoch: 009, Train Loss: 0.6985953, Train Acc: 0.5469256, Test Acc: 0.4000000
Epoch: 010, Train Loss: 0.6692352, Train Acc: 0.5857605, Test Acc: 0.5142857
Epoch: 011, Train Loss: 0.6883613, Train Acc: 0.5857605, Test Acc: 0.4571429
Epoch: 012, Train Loss: 0.6169698, Train Acc: 0.6504854, Test Acc: 0.5142857
Epoch: 013, Train Loss: 0.6199064, Train Acc: 0.6699029, Test Acc: 0.4571429
Epoch: 014, Train Loss: 0.5363313, Train Acc: 0.7313916, Test Acc: 0.4571429
Epoch: 015, Train Loss: 0.5903479, Train Acc: 0.6893204, Test Acc: 0.4571429
Epoch: 016, Train Loss: 0.4834463, Train Acc: 0.7572816, Test Acc: 0.5142857
Epoch: 017, Train Loss: 0.3578104, Train Acc: 0.8446602, Test Acc: 0.5428571
Epoch: 018, Train Loss: 0.3982876, Train Acc: 0.7993528, Test Acc: 0.3714286
Epoch: 019, Train Loss: 0.3858131, Train Acc: 0.8058252, Test Acc: 0.6285714
Epoch: 020, Train Loss: 0.3316954, Train Acc: 0.8737864, Test Acc: 0.5714286
Epoch: 021, Train Loss: 0.2890398, Train Acc: 0.8737864, Test Acc: 0.5428571
Epoch: 022, Train Loss: 0.3659244, Train Acc: 0.8284790, Test Acc: 0.5142857
