{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'degs': [0.3, 0.4], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672757016', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'degs': [0.3, 0.4], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672757017, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▍       | 85/344 [00:00<00:00, 842.81it/s]Pre-process:  50%|█████     | 173/344 [00:00<00:00, 860.21it/s]Pre-process:  76%|███████▌  | 260/344 [00:00<00:00, 864.13it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 869.12it/s]
Basis total: 27
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 340227
Epoch: 001, Train Loss: 1.0704222, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0060343, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9082841, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8110236, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7550341, Train Acc: 0.5825243, Test Acc: 0.4285714
Epoch: 006, Train Loss: 0.7190166, Train Acc: 0.6084142, Test Acc: 0.4857143
Epoch: 007, Train Loss: 0.6979713, Train Acc: 0.5987055, Test Acc: 0.5142857
Epoch: 008, Train Loss: 0.6756669, Train Acc: 0.6019417, Test Acc: 0.5714286
Epoch: 009, Train Loss: 0.6522934, Train Acc: 0.6860841, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6231556, Train Acc: 0.6601942, Test Acc: 0.5428571
Epoch: 011, Train Loss: 0.5883657, Train Acc: 0.7152104, Test Acc: 0.4285714
Epoch: 012, Train Loss: 0.5463312, Train Acc: 0.7184466, Test Acc: 0.4857143
Epoch: 013, Train Loss: 0.5004055, Train Acc: 0.7572816, Test Acc: 0.5142857
Epoch: 014, Train Loss: 0.4664189, Train Acc: 0.7702265, Test Acc: 0.4285714
Epoch: 015, Train Loss: 0.4583485, Train Acc: 0.7605178, Test Acc: 0.5428571
Epoch: 016, Train Loss: 0.4518966, Train Acc: 0.7928803, Test Acc: 0.4285714
Epoch: 017, Train Loss: 0.4343837, Train Acc: 0.8090615, Test Acc: 0.5714286
Epoch: 018, Train Loss: 0.4797288, Train Acc: 0.7734628, Test Acc: 0.4857143
Epoch: 019, Train Loss: 0.4074515, Train Acc: 0.7961165, Test Acc: 0.6571429
Epoch: 020, Train Loss: 0.4638942, Train Acc: 0.7540453, Test Acc: 0.4857143
Epoch: 021, Train Loss: 0.3337685, Train Acc: 0.8705502, Test Acc: 0.4857143
Epoch: 022, Train Loss: 0.3630364, Train Acc: 0.8284790, Test Acc: 0.4857143
