{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'degs': [-0.3, -0.35, -0.4], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672757281', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'degs': [-0.3, -0.35, -0.4], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672757283, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▌       | 86/344 [00:00<00:00, 849.85it/s]Pre-process:  51%|█████     | 174/344 [00:00<00:00, 866.82it/s]Pre-process:  76%|███████▌  | 262/344 [00:00<00:00, 868.74it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 871.28it/s]
Basis total: 28
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 340355
Epoch: 001, Train Loss: 1.0592414, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.9980714, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8848715, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7764532, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7189399, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.6993119, Train Acc: 0.6245955, Test Acc: 0.6285714
Epoch: 007, Train Loss: 0.6801323, Train Acc: 0.6019417, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6686004, Train Acc: 0.6310680, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6544603, Train Acc: 0.6084142, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6331441, Train Acc: 0.6213592, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.5788323, Train Acc: 0.6990291, Test Acc: 0.4285714
Epoch: 012, Train Loss: 0.5415670, Train Acc: 0.7249191, Test Acc: 0.6000000
Epoch: 013, Train Loss: 0.5010722, Train Acc: 0.7443366, Test Acc: 0.4571429
Epoch: 014, Train Loss: 0.4641185, Train Acc: 0.7831715, Test Acc: 0.5428571
Epoch: 015, Train Loss: 0.4233721, Train Acc: 0.7961165, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.4196215, Train Acc: 0.8317152, Test Acc: 0.5428571
Epoch: 017, Train Loss: 0.3877375, Train Acc: 0.8220065, Test Acc: 0.5714286
Epoch: 018, Train Loss: 0.3579443, Train Acc: 0.8381877, Test Acc: 0.4571429
Epoch: 019, Train Loss: 0.3441472, Train Acc: 0.8576052, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.3464916, Train Acc: 0.8446602, Test Acc: 0.6000000
Epoch: 021, Train Loss: 0.4172341, Train Acc: 0.7993528, Test Acc: 0.5142857
Epoch: 022, Train Loss: 0.3229501, Train Acc: 0.8478964, Test Acc: 0.5428571
