{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65, 'weight_decay': 0.0001}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ffe28e9514b53162166f17324f231889184799f6', 'time_stamp': '1672821555', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65, 'weight_decay': 0.0001}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ffe28e9514b53162166f17324f231889184799f6', 'time_stamp': 1672821557, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▌       | 87/344 [00:00<00:00, 868.67it/s]Pre-process:  51%|█████▏    | 177/344 [00:00<00:00, 884.76it/s]Pre-process:  78%|███████▊  | 267/344 [00:00<00:00, 887.24it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 890.70it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ffe28e9514b53162166f17324f231889184799f6
#Params: 339971
Epoch: 001, Train Loss: 1.0680239, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0067777, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9043426, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8079397, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7504912, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 006, Train Loss: 0.7110758, Train Acc: 0.5339806, Test Acc: 0.4857143
Epoch: 007, Train Loss: 0.6810685, Train Acc: 0.6019417, Test Acc: 0.5428571
Epoch: 008, Train Loss: 0.6734057, Train Acc: 0.6278317, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6463569, Train Acc: 0.6051780, Test Acc: 0.5428571
Epoch: 010, Train Loss: 0.6114635, Train Acc: 0.6731392, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.5507340, Train Acc: 0.7249191, Test Acc: 0.5142857
Epoch: 012, Train Loss: 0.4949261, Train Acc: 0.7864078, Test Acc: 0.5428571
Epoch: 013, Train Loss: 0.5047879, Train Acc: 0.7411003, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.4408862, Train Acc: 0.7928803, Test Acc: 0.4857143
Epoch: 015, Train Loss: 0.3900841, Train Acc: 0.8252427, Test Acc: 0.5428571
Epoch: 016, Train Loss: 0.5416598, Train Acc: 0.7184466, Test Acc: 0.4857143
Epoch: 017, Train Loss: 0.3636289, Train Acc: 0.8349515, Test Acc: 0.4571429
Epoch: 018, Train Loss: 0.3754004, Train Acc: 0.8187702, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.4866215, Train Acc: 0.7831715, Test Acc: 0.6000000
Epoch: 020, Train Loss: 0.4191678, Train Acc: 0.7896440, Test Acc: 0.4285714
Epoch: 021, Train Loss: 0.3548296, Train Acc: 0.8155340, Test Acc: 0.4857143
